iter	Passed	Remaining
631	936	545
632	937	543
633	939	542
634	940	540
635	942	539
636	943	537
637	944	535
638	946	534
639	947	532
640	948	531
641	950	529
642	951	528
643	952	526
644	954	525
645	955	523
646	956	522
647	958	520
648	959	518
649	961	517
650	962	515
651	963	514
652	965	512
653	966	511
654	967	509
655	968	508
656	969	506
657	971	504
658	972	503
659	975	502
660	977	501
661	978	499
662	980	498
663	981	496
664	982	495
665	984	493
666	985	492
667	986	490
668	988	488
669	990	487
670	991	486
671	993	484
672	996	484
673	998	482
674	999	481
675	1001	479
676	1002	478
677	1005	477
678	1007	476
679	1008	474
680	1010	473
681	1014	473
682	1016	471
683	1019	470
684	1021	469
685	1023	468
686	1025	467
687	1026	465
688	1027	463
689	1029	462
690	1030	460
691	1032	459
692	1034	458
693	1035	456
694	1036	454
695	1038	453
696	1039	452
697	1041	450
698	1042	448
699	1043	447
700	1045	445
701	1046	444
702	1048	442
703	1049	441
704	1050	439
705	1052	438
706	1053	436
707	1054	435
708	1056	433
709	1057	431
710	1058	430
711	1059	428
712	1061	427
713	1063	426
714	1065	424
715	1066	423
716	1068	421
717	1069	420
718	1071	418
719	1072	417
720	1073	415
721	1075	413
722	1077	412
723	1078	411
724	1080	409
725	1081	408
726	1083	406
727	1084	405
728	1086	403
729	1087	402
730	1089	400
731	1090	399
732	1092	397
733	1093	396
734	1095	394
735	1096	393
736	1098	391
737	1099	390
738	1100	388
739	1101	387
740	1103	385
741	1104	384
742	1106	382
743	1108	381
744	1109	379
745	1110	378
746	1112	376
747	1113	375
748	1114	373
749	1116	372
750	1117	370
751	1118	368
752	1120	367
753	1121	366
754	1124	364
755	1126	363
756	1127	361
757	1129	360
758	1130	358
759	1131	357
760	1132	355
761	1134	354
762	1136	353
763	1138	351
764	1139	350
765	1141	348
766	1142	347
767	1143	345
768	1144	343
769	1146	342
770	1147	340
771	1148	339
772	1150	337
773	1152	336
774	1153	334
775	1155	333
776	1156	331
777	1158	330
778	1159	329
779	1160	327
780	1162	325
781	1163	324
782	1165	323
783	1167	321
784	1168	320
785	1170	318
786	1171	316
787	1172	315
788	1173	313
789	1174	312
790	1176	310
791	1177	309
792	1179	307
793	1181	306
794	1182	304
795	1183	303
796	1185	301
797	1186	300
798	1187	298
799	1188	297
800	1190	295
801	1191	294
802	1192	292
803	1194	291
804	1195	289
805	1196	288
806	1198	286
807	1199	284
808	1200	283
809	1201	281
810	1203	280
811	1204	278
812	1205	277
813	1207	275
814	1208	274
815	1210	272
816	1211	271
817	1213	269
818	1214	268
819	1215	266
820	1217	265
821	1218	263
822	1220	262
823	1222	261
824	1224	259
825	1225	258
826	1227	256
827	1229	255
828	1231	253
829	1232	252
830	1233	250
831	1235	249
832	1238	248
833	1239	246
834	1240	245
835	1241	243
836	1243	242
837	1244	240
838	1245	239
839	1246	237
840	1247	235
841	1248	234
842	1250	232
843	1252	231
844	1254	230
845	1255	228
846	1257	227
847	1258	225
848	1259	224
849	1260	222
850	1262	220
851	1263	219
852	1264	217
853	1266	216
854	1268	215
855	1269	213
856	1270	212
857	1272	210
858	1273	209
859	1274	207
860	1275	205
861	1276	204
862	1277	202
863	1279	201
864	1280	199
865	1282	198
866	1283	196
867	1284	195
868	1285	193
869	1287	192
870	1288	190
871	1289	189
872	1290	187
873	1291	186
874	1292	184
875	1294	183
876	1296	181
877	1297	180
878	1298	178
879	1300	177
880	1301	175
881	1302	174
882	1303	172
883	1305	171
884	1306	169
885	1307	168
886	1310	166
887	1311	165
888	1313	163
889	1316	162
890	1317	161
891	1319	159
892	1321	158
893	1322	156
894	1325	155
895	1327	154
896	1329	152
897	1330	151
898	1332	149
899	1333	148
900	1335	146
901	1336	145
902	1337	143
903	1339	142
904	1341	140
905	1342	139
906	1344	137
907	1345	136
908	1346	134
909	1347	133
910	1348	131
911	1350	130
912	1351	128
913	1353	127
914	1354	125
915	1356	124
916	1357	122
917	1359	121
918	1360	119
919	1362	118
920	1363	116
921	1364	115
922	1365	113
923	1367	112
924	1370	111
925	1371	109
926	1372	108
927	1374	106
928	1375	105
929	1376	103
930	1378	102
931	1379	100
932	1380	99
933	1382	97
934	1385	96
935	1386	94
936	1387	93
937	1389	91
938	1391	90
939	1392	88
940	1393	87
941	1395	85
942	1397	84
943	1399	83
944	1400	81
945	1402	80
946	1404	78
947	1405	77
948	1406	75
949	1408	74
950	1409	72
951	1411	71
952	1414	69
953	1415	68
954	1417	66
955	1419	65
956	1420	63
957	1422	62
958	1423	60
959	1425	59
960	1428	57
961	1430	56
962	1433	55
963	1435	53
964	1437	52
965	1438	50
966	1441	49
967	1443	47
968	1444	46
969	1445	44
970	1447	43
971	1450	41
972	1451	40
973	1454	38
974	1457	37
975	1459	35
976	1460	34
977	1462	32
978	1464	31
979	1466	29
980	1468	28
981	1471	26
982	1473	25
983	1474	23
984	1476	22
985	1478	20
986	1479	19
987	1481	17
988	1482	16
989	1486	15
990	1488	13
991	1489	12
992	1491	10
993	1492	9
994	1494	7
995	1495	6
996	1497	4
997	1500	3
998	1501	1
999	1503	0
